2,cod
13,591.874 8.46024e-005 0.319788 0.39502 0.519183 0.529818 0 0
16,-851.550049 1515.300049 -61.632919
23,winner\0
24,bg_aimSpreadMoveSpeedThreshold
25,bg_fallDamageMaxHeight
26,bg_fallDamageMinHeight
27,bg_foliagesnd_fastinterval
28,bg_foliagesnd_maxspeed
29,bg_foliagesnd_minspeed
30,bg_foliagesnd_resetinterval
31,bg_foliagesnd_slowinterval
32,bg_forceDualWield
33,bg_forceExplosiveBullets
34,bg_ladder_yawcap
35,bg_maxGrenadeIndicatorSpeed
36,bg_prone_yawcap
37,bg_softLandingMaxDamage
38,bg_softLandingMaxHeight
39,bg_softLandingMinHeight
40,bg_viewBobAmplitudeDucked
41,bg_viewBobAmplitudeDuckedAds
42,bg_viewBobAmplitudeProne
43,bg_viewBobAmplitudeRoll
44,bg_viewBobAmplitudeSprinting
45,bg_viewBobAmplitudeStanding
46,bg_viewBobAmplitudeStandingAds
47,bg_viewBobLag
48,bg_viewBobMax
49,bg_viewKickMax
50,bg_viewKickMin
51,bg_viewKickRandom
52,bg_weaponBobAmplitudeDucked
53,bg_weaponBobAmplitudeProne
54,bg_weaponBobAmplitudeRoll
55,bg_weaponBobAmplitudeSprinting
56,bg_weaponBobAmplitudeStanding
57,bg_weaponBobLag
58,bg_weaponBobMax
59,bullet_penetration_enabled
60,bullet_ricochetBaseChance
61,camera_thirdPerson
62,camera_thirdPersonAdsTransScale
63,camera_thirdPersonFovScale
64,camera_thirdPersonOffset
65,camera_thirdPersonOffsetAds
66,camera_thirdPersonOffsetTurretAds
67,cg_thirdPersonAngle
68,com_timescale
69,compassMaxRange
70,friction
71,fs_game
72,g_ScoresColor_Allies
73,g_ScoresColor_Axis
74,g_ScoresColor_EnemyTeam
75,g_ScoresColor_Free
76,g_ScoresColor_MyParty
77,g_ScoresColor_MyTeam
78,g_ScoresColor_Spectator
79,g_synchronousClients
80,g_TeamColor_Allies
81,g_TeamColor_Axis
82,g_TeamColor_EnemyTeam
83,g_TeamColor_Free
84,g_TeamColor_MyParty
85,g_TeamColor_MyTeam
86,g_TeamColor_Spectator
87,g_TeamIcon_Allies
88,g_TeamIcon_Axis
89,g_TeamIcon_EnemyAllies
90,g_TeamIcon_EnemyAxis
91,g_TeamIcon_Free
92,g_TeamIcon_MyAllies
93,g_TeamIcon_MyAxis
94,g_TeamIcon_Spectator
95,g_TeamName_Allies
96,g_TeamName_Axis
97,g_TeamTitleColor_EnemyTeam
98,g_TeamTitleColor_MyTeam
99,g_TeamTitleColor_Spectator
100,jump_height
101,jump_ladderPushVel
102,jump_slowdownEnable
103,jump_spreadAdd
104,jump_stepSize
105,mantle_check_angle
106,mantle_check_radius
107,mantle_check_range
108,mantle_debug
109,mantle_enable
